Gene	JK_A2_1_ERCC_S26	JK_A2_2_ERCC_S27	JK_A2_3_ERCC_S28	JK_A2_4_ERCC_S29	JK_A2_5_ERCC_S30	JK_A2_6_ERCC_S31	JK_S1_2_ERCC_S22	JK_S1_3_ERCC_S23	JK_S2_2_ERCC_S24	JK_S2_3_ERCC_S25
AMPD2	18.05923460074766	20.140436162141413	19.77190065041528	20.1271833359526	20.41733300268157	21.041187570584814	11.946016726649587	13.034696084737881	14.86884342133137	15.523917978167988
LINC02273	3.423730772418126	3.5526680976641654	3.533759782169405	4.363428325486263	3.7323384493822487	3.7815158413534573	4.5342014756203435	5.004059248500155	4.963703564783145	5.265065990476407
AFTPH	11.25801014645154	11.132605482590593	10.955367599797796	10.573253535364081	9.588036225169484	10.944035341061365	12.660641679772013	11.121042825898616	11.259366001038858	11.612115883620085
LRRN1	2.1300369715888556	2.0271004908786168	1.9654588417543868	2.09731044457782	2.4363915079614986	2.100105027805943	1.8976828441947773	1.8224955753658607	1.7770892470172006	1.6471444460686548
SMG1P6	1.5149001630306356	1.3458643823301282	1.3010862988167111	1.4925101049401097	1.0652414826618217	1.44346832712069	1.4887202435768598	1.2485862451380754	1.1578752357111857	1.3731579615298473
QRICH2	2.847939469241739	3.354122533965219	3.175020737133063	3.537976310682722	3.1282166119484685	3.506867046414951	0.7343568192059896	0.8559057636208482	1.5523020915697356	1.5213664616111202
CHM	6.813192518338709	6.491709361590555	6.29222452918553	6.244740254679286	5.91141111383701	6.092314065458814	5.245748993171077	4.4260548306751515	5.55391450780563	6.256740298403568
MRPL48	12.982869105698787	13.029571471703774	13.826350435290239	13.611305123961841	14.693357979335643	12.994848276911735	9.760794215320402	9.63464486079038	12.61420155713936	13.348376619131686
AC068620.1	1.3042471799405748	0.8909652822119332	0.9445274753554977	1.2436543875916635	0.7887845961503234	0.7922986458062949	1.5323779478274953	1.335059848572217	0.6256765071019917	1.2168931046600988
SNHG16	71.69809902809723	73.04794711837611	73.25852239059863	65.76893195340136	65.74934885305541	67.02508672888722	26.048139098992877	24.596258779033153	50.53751508054261	50.94164780204868
GPX1P1	5.69263001805746	6.947960945530815	6.473955953194497	7.088540281983584	8.896188619829525	7.985148503030951	3.4397224939211246	3.7992807116447707	3.823234498017615	4.647437259237156
