term	gene
H_Blood_Normal_PlasmacytoidDendriticCell_Company	CD40
H_Blood_Normal_PlasmacytoidDendriticCell_Company	PTPRC
H_Blood_Normal_PlasmacytoidDendriticCell_Company	ITGA4
H_Blood_Normal_PlasmacytoidDendriticCell_Company	CD8A
H_Blood_Normal_PlasmacytoidDendriticCell_Company	CD80
H_Blood_Normal_PlasmacytoidDendriticCell_Company	CD83
H_Blood_Normal_PlasmacytoidDendriticCell_Company	LILRA4
H_Blood_Normal_PlasmacytoidDendriticCell_Company	CD86
H_Blood_Normal_PlasmacytoidDendriticCell_Company	NA
H_Blood_Normal_PlasmacytoidDendriticCell_Company	ADGRE1
H_Blood_Normal_PlasmacytoidDendriticCell_Company	HLA-DR family
H_Blood_Normal_PlasmacytoidDendriticCell_Company	MHC Class II
H_Blood_Normal_PlasmacytoidDendriticCell_Company	NA
H_Undefined_Normal_PlasmacytoidDendriticCell_Company	IL3RA
H_Undefined_Normal_PlasmacytoidDendriticCell_Company	TLR3
H_Undefined_Normal_PlasmacytoidDendriticCell_Company	TLR7
H_Undefined_Normal_PlasmacytoidDendriticCell_Company	TLR9
H_Undefined_Normal_PlasmacytoidDendriticCell_Company	CLEC4C
H_Undefined_Normal_PlasmacytoidDendriticCell_Company	NRP1
H_Undefined_Normal_PlasmacytoidDendriticCell_Company	CLEC9A
H_Undefined_Normal_PlasmacytoidDendriticCell_Company	LILRA4
H_Undefined_Normal_PlasmacytoidDendriticCell_Company	TCF4
H_Undefined_Normal_PlasmacytoidDendriticCell_Company	IRF8
H_Undefined_Normal_Platelet_Company	ITGA2B
H_Undefined_Normal_Platelet_Company	GP9
H_Undefined_Normal_Platelet_Company	GP1BA
H_Undefined_Normal_Platelet_Company	ITGB3
H_Undefined_Normal_Platelet_Company	LAMP1
H_Undefined_Normal_Platelet_Company	LAMP2
H_Undefined_Normal_Platelet_Company	MPL
H_Undefined_Normal_Platelet_Company	BSG
H_Undefined_Normal_Platelet_Company	CD151
H_Undefined_Normal_Platelet_Company	NA
H_Undefined_Normal_Platelet_Company	CD226
H_Undefined_Normal_Platelet_Company	FCER2
H_Undefined_Normal_Platelet_Company	PECAM1
H_Undefined_Normal_Platelet_Company	CD36
H_Undefined_Normal_Platelet_Company	ITGA2B
H_Undefined_Normal_Platelet_Company	GP9
H_Undefined_Normal_Platelet_Company	GP1BA
H_Undefined_Normal_Platelet_Company	GP1BB
H_Undefined_Normal_Platelet_Company	GP5
H_Undefined_Normal_Platelet_Company	ITGA6
H_Undefined_Normal_Platelet_Company	ITGAV
H_Undefined_Normal_Platelet_Company	NA
H_Undefined_Normal_Platelet_Company	ITGB3
H_Undefined_Normal_Platelet_Company	CD84
H_Undefined_Normal_Platelet_Company	CD9
H_Undefined_Normal_Platelet_Company	SLC44A1
H_Undefined_Normal_Platelet_Company	LRRC32
H_Undefined_Normal_Platelet_Company	TGFB1
H_Blood_Normal_Platelet_Company	SRC
H_Blood_Normal_Platelet_Company	ICAM2
H_Blood_Normal_Platelet_Company	LAMP2
H_Blood_Normal_Platelet_Company	CD109
H_Blood_Normal_Platelet_Company	CSF3R
H_Blood_Normal_Platelet_Company	BSG
H_Blood_Normal_Platelet_Company	CD151
H_Blood_Normal_Platelet_Company	CCR3
H_Blood_Normal_Platelet_Company	CD226
H_Blood_Normal_Platelet_Company	TNFSF14
H_Blood_Normal_Platelet_Company	ITGB1
H_Blood_Normal_Platelet_Company	PECAM1
H_Blood_Normal_Platelet_Company	FCGR2A
H_Blood_Normal_Platelet_Company	FCGR2B
H_Blood_Normal_Platelet_Company	FCGR2C
H_Blood_Normal_Platelet_Company	JAM3
H_Blood_Normal_Platelet_Company	CD36
H_Blood_Normal_Platelet_Company	ITGA2B
H_Blood_Normal_Platelet_Company	ITGA2B
H_Blood_Normal_Platelet_Company	GP1BA
H_Blood_Normal_Platelet_Company	SPN
H_Blood_Normal_Platelet_Company	CD46
H_Blood_Normal_Platelet_Company	CD47
H_Blood_Normal_Platelet_Company	CD48
H_Blood_Normal_Platelet_Company	ITGA2
H_Blood_Normal_Platelet_Company	ITGA6
H_Blood_Normal_Platelet_Company	ITGAV
H_Blood_Normal_Platelet_Company	ITGB3
H_Blood_Normal_Platelet_Company	SELP
H_Blood_Normal_Platelet_Company	CD63
H_Blood_Normal_Platelet_Company	CD69
H_Blood_Normal_Platelet_Company	CD84
H_Blood_Normal_Platelet_Company	CD9
H_Blood_Normal_Platelet_Company	FCER1A
H_Blood_Normal_Platelet_Company	LRRC32
H_Blood_Normal_Platelet_Company	NA
H_Blood_Normal_Platelet_Company	PDGFB
H_Blood_Normal_Platelet_Company	CCL5
H_Blood_Normal_Platelet_Company	VEGFA
H_Undefined_Normal_PluripotentStemCell_Company	ITGA6
H_Undefined_Normal_PluripotentStemCell_Company	KLF4
H_Undefined_Normal_PluripotentStemCell_Company	LIN28A
H_Undefined_Normal_PluripotentStemCell_Company	NANOG
H_Undefined_Normal_PluripotentStemCell_Company	POU5F1
H_Undefined_Normal_PluripotentStemCell_Company	SOX2
H_Germ_Normal_PrimitiveEndodermCell_Company	CDH2
H_Undefined_Normal_PrimordialGermCell_Company	PRDM1
H_Undefined_Normal_PrimordialGermCell_Company	PRDM1
H_Undefined_Normal_PrimordialGermCell_Company	FUT4
H_Undefined_Normal_PrimordialGermCell_Company	IFITM1
H_Undefined_Normal_PrimordialGermCell_Company	IFITM2
H_Undefined_Normal_PrimordialGermCell_Company	IFITM3
H_Undefined_Normal_PrimordialGermCell_Company	NANOS2
H_Undefined_Normal_PrimordialGermCell_Company	POU2F1
H_Undefined_Normal_PrimordialGermCell_Company	POU5F1
H_Undefined_Normal_PrimordialGermCell_Company	POU5F1
H_Undefined_Normal_PrimordialGermCell_Company	POU5F1
H_Undefined_Normal_PrimordialGermCell_Company	PRDM14
H_Undefined_Normal_PrimordialGermCell_Company	PUM2
H_Undefined_Normal_PrimordialGermCell_Company	SMAD1
H_Undefined_Normal_PrimordialGermCell_Company	SMAD4
H_Undefined_Normal_PrimordialGermCell_Company	SMAD5
H_Undefined_Normal_PrimordialGermCell_Company	SOX2
H_Undefined_Normal_PrimordialGermCell_Company	FUT4
H_Undefined_Normal_PrimordialGermCell_Company	DPPA3
H_Undefined_Normal_PrimordialGermCell_Company	DDX4
H_Germ_Normal_Proerythroblast_Company	ENG
H_Germ_Normal_Proerythroblast_Company	TFRC
H_Germ_Normal_Proerythroblast_Company	Glycophorin family
H_Germ_Normal_Proerythroblast_Company	SPI1
H_Undefined_Normal_PurkinjeCell_Company	ITPR3
H_Undefined_Normal_PurkinjeCell_Company	NA
H_Undefined_Normal_PurkinjeCell_Company	PDE1C
H_Undefined_Normal_PurkinjeCell_Company	CA8
H_Undefined_Normal_PurkinjeCell_Company	CBLN1
H_Undefined_Normal_PurkinjeCell_Company	PRKG1
H_Undefined_Normal_PurkinjeCell_Company	CLU
H_Undefined_Normal_PurkinjeCell_Company	ABAT
H_Undefined_Normal_PurkinjeCell_Company	GAD1
H_Undefined_Normal_PurkinjeCell_Company	GFAP
H_Undefined_Normal_PurkinjeCell_Company	HDAC6
H_Undefined_Normal_PurkinjeCell_Company	MPRIP
H_Undefined_Normal_PurkinjeCell_Company	NA
H_Undefined_Normal_PurkinjeCell_Company	MBP
H_Undefined_Normal_PurkinjeCell_Company	MPZ
H_Undefined_Normal_PurkinjeCell_Company	GRIN1
H_Undefined_Normal_PurkinjeCell_Company	OMP
H_Undefined_Normal_PurkinjeCell_Company	ALKBH3
H_Undefined_Normal_PurkinjeCell_Company	ENPP1
H_Undefined_Normal_PurkinjeCell_Company	NA
H_Undefined_Normal_PurkinjeCell_Company	PDE1B
H_Undefined_Normal_PurkinjeCell_Company	PDE5A
H_Undefined_Normal_PurkinjeCell_Company	PDE9A
H_Undefined_Normal_PurkinjeCell_Company	PCP4
H_Undefined_Normal_PurkinjeCell_Company	ATP2B1
H_Undefined_Normal_PurkinjeCell_Company	ATP2B2
H_Undefined_Normal_PurkinjeCell_Company	S100A1
H_Undefined_Normal_PurkinjeCell_Company	ATP2A3
H_Undefined_Normal_PurkinjeCell_Company	NA
H_Undefined_Normal_PurkinjeCell_Company	ALDOC
H_Skin_Normal_EpidermalStemCell_Company	ITGB1
H_Skin_Normal_EpidermalStemCell_Company	KRT14
H_Skin_Normal_EpidermalStemCell_Company	FZD2
H_Skin_Normal_EpidermalStemCell_Company	FZD3
H_Skin_Normal_EpidermalStemCell_Company	FZD7
H_Undefined_Normal_PyramidalCell_Company	CAMK2A
H_Undefined_Normal_PyramidalCell_Company	EMX1
H_Undefined_Normal_PyramidalCell_Company	MAP2
H_Undefined_Normal_PyramidalCell_Company	NEUROD6
H_Undefined_Normal_PyramidalCell_Company	GRM1
H_Undefined_Normal_PyramidalCell_Company	GRM5
H_Undefined_Normal_PyramidalCell_Company	NRGN
H_Undefined_Normal_PyramidalCell_Company	DLG4
H_Undefined_Normal_PyramidalCell_Company	PTPRG
H_Undefined_Normal_PyramidalCell_Company	POU3F1
H_Undefined_Normal_PyramidalCell_Company	CD3E
H_Undefined_Normal_PyramidalCell_Company	TBR1
H_Undefined_Normal_PyramidalCell_Company	FEZF2
H_Undefined_Normal_RadialGlialCell_Company	FABP7
H_Undefined_Normal_RadialGlialCell_Company	GFAP
H_Undefined_Normal_RadialGlialCell_Company	SLC1A3
H_Undefined_Normal_RadialGlialCell_Company	HES1
H_Undefined_Normal_RadialGlialCell_Company	HES5
H_Undefined_Normal_RadialGlialCell_Company	CDH2
H_Undefined_Normal_RadialGlialCell_Company	NES
H_Undefined_Normal_RadialGlialCell_Company	PAX6
H_Undefined_Normal_RadialGlialCell_Company	SOX2
H_Undefined_Normal_RadialGlialCell_Company	TNC
H_Undefined_Normal_RadialGlialCell_Company	VIM
H_Undefined_Normal_RegulatoryBCell_Company	CD19
H_Undefined_Normal_RegulatoryBCell_Company	CD24
H_Undefined_Normal_RegulatoryBCell_Company	CD27
H_Undefined_Normal_RegulatoryBCell_Company	CD38
H_Undefined_Normal_RetinalGanglionCell_Company	POU4F2
H_Undefined_Normal_RetinalGanglionCell_Company	HOXB5
H_Undefined_Normal_RetinalGanglionCell_Company	NGF
H_Undefined_Normal_RetinalGanglionCell_Company	TAF1
H_Undefined_Normal_RetinalGanglionCell_Company	PRKCA
H_Undefined_Normal_SchwannCell_Company	GFAP
H_Undefined_Normal_SchwannCell_Company	MBP
H_Undefined_Normal_SchwannCell_Company	MPZ
H_Undefined_Normal_SchwannCell_Company	S100A1
H_Undefined_Normal_SchwannCell_Company	GAP43
H_Undefined_Normal_SchwannCell_Company	MPZ
H_Undefined_Normal_SchwannCell_Company	NCAM1
H_Undefined_Normal_SchwannCell_Company	S100 family
H_Undefined_Normal_SerotonergicNeuron_Company	FEV
H_Undefined_Normal_SerotonergicNeuron_Company	NA
H_Undefined_Normal_SerotonergicNeuron_Company	NA
H_Undefined_Normal_SertoliCell_Company	SHBG
H_Undefined_Normal_SertoliCell_Company	CALB2
H_Undefined_Normal_SertoliCell_Company	CLU
H_Undefined_Normal_SertoliCell_Company	NA
H_Undefined_Normal_SertoliCell_Company	KRT18
H_Undefined_Normal_SertoliCell_Company	DHH
H_Undefined_Normal_SertoliCell_Company	GATA1
H_Undefined_Normal_SertoliCell_Company	GATA4
H_Undefined_Normal_SertoliCell_Company	INHBB
H_Undefined_Normal_SertoliCell_Company	NA
H_Undefined_Normal_SertoliCell_Company	AMH
H_Undefined_Normal_SertoliCell_Company	HTR1A
H_Undefined_Normal_SertoliCell_Company	SOX9
H_Undefined_Normal_SertoliCell_Company	KITLG
H_Undefined_Normal_SertoliCell_Company	VIM
H_Heart_Normal_SmoothMuscleCell_Company	ACTA2
H_Heart_Normal_SmoothMuscleCell_Company	CALD1
H_Heart_Normal_SmoothMuscleCell_Company	CNN1
H_Heart_Normal_SmoothMuscleCell_Company	HEXIM1
H_Heart_Normal_SmoothMuscleCell_Company	HRH2
H_Heart_Normal_SmoothMuscleCell_Company	MLNR
H_Heart_Normal_SmoothMuscleCell_Company	TAGLN
H_Heart_Normal_SmoothMuscleCell_Company	CDH5
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	MME
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	ITGAE
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	VCAM1
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	CSF1R
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	KIT
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	ITGAM
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	ITGAX
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	IL3RA
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	IL7R
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	THBD
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	SIGLEC1
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	CXCR3
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	CCR2
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	CCR6
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	CCR8
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	CD1A
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	CD1C
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	CD1D
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	LY75
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	MRC1
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	CD207
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	CD209
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	CR2
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	FCER2
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	TLR2
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	TLR9
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	CLEC4C
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	NRP1
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	LAIR1
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	CDH1
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	CD33
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	CD34
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	CD38
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	ENTPD1
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	CD40
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	PTPRC
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	CD48
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	ITGA4
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	CD5
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	CD68
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	NT5E
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	CD80
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	CD81
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	CD83
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	LILRA4
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	CD86
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	CXCR3
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	CLEC7A
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	FLT3
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	MHC class II
H_Undefined_Normal_SpecialistAntigenPresentingCell_Company	TLR7
H_Undefined_Normal_StemCell_Company	KIT
H_Undefined_Normal_StemCell_Company	CD164
H_Undefined_Normal_StemCell_Company	CD34
H_Undefined_Normal_StromalCell_Company	MME
H_Undefined_Normal_StromalCell_Company	ICAM2
H_Undefined_Normal_StromalCell_Company	VCAM1
H_Undefined_Normal_StromalCell_Company	KIT
H_Undefined_Normal_StromalCell_Company	PDGFRA
H_Undefined_Normal_StromalCell_Company	PDGFRB
H_Undefined_Normal_StromalCell_Company	ITGB1
H_Undefined_Normal_StromalCell_Company	PECAM1
H_Undefined_Normal_StromalCell_Company	ITGA4
H_Undefined_Normal_StromalCell_Company	ICAM3
H_Undefined_Normal_StromalCell_Company	ITGAV
H_Undefined_Normal_StromalCell_Company	ITGB3
H_Undefined_Normal_StromalCell_Company	ICAM1
H_Undefined_Normal_StromalCell_Company	THY1
H_Undefined_Normal_StromalCell_Company	LTBR
H_Undefined_Normal_StromalCell_Company	MADCAM1
H_Undefined_Normal_StromalCell_Company	MMP1
H_Undefined_Normal_StromalCell_Company	MMP2
H_Undefined_Normal_StromalCell_Company	MMP9
H_Undefined_Normal_StromalCell_Company	NA
H_Undefined_Normal_StromalCell_Company	PDPN
H_Undefined_Normal_StromalCell_Company	TIMP1
H_Undefined_Normal_StromalCell_Company	TIMP2
H_Undefined_Normal_StromalCell_Company	TLR1
H_Undefined_Normal_StromalCell_Company	TLR2
H_Undefined_Normal_StromalCell_Company	TLR3
H_Undefined_Normal_StromalCell_Company	TLR4
H_Undefined_Normal_StromalCell_Company	MME
H_Undefined_Normal_StromalCell_Company	BST1
H_Undefined_Normal_StromalCell_Company	CD34
H_Undefined_Normal_StromalCell_Company	PDPN
H_Undefined_Normal_StromalCell_Company	NA
H_Undefined_Normal_TCell_Company	CCR10
H_Undefined_Normal_TCell_Company	MME
H_Undefined_Normal_TCell_Company	ITGAE
H_Undefined_Normal_TCell_Company	ITGAM
H_Undefined_Normal_TCell_Company	ITGAX
H_Undefined_Normal_TCell_Company	IL2RB
H_Undefined_Normal_TCell_Company	IL6R
H_Undefined_Normal_TCell_Company	IL7R
H_Undefined_Normal_TCell_Company	ANPEP
H_Undefined_Normal_TCell_Company	IL6ST
H_Undefined_Normal_TCell_Company	PDGFRA
H_Undefined_Normal_TCell_Company	PDGFRB
H_Undefined_Normal_TCell_Company	CTLA4
H_Undefined_Normal_TCell_Company	KLRC1
H_Undefined_Normal_TCell_Company	FCGR3A
H_Undefined_Normal_TCell_Company	FCGR3B
H_Undefined_Normal_TCell_Company	CD160
H_Undefined_Normal_TCell_Company	KLRB1
H_Undefined_Normal_TCell_Company	APOE
H_Undefined_Normal_TCell_Company	FASLG
H_Undefined_Normal_TCell_Company	CXCR3
H_Undefined_Normal_TCell_Company	CXCR5
H_Undefined_Normal_TCell_Company	CCR2
H_Undefined_Normal_TCell_Company	CCR3
H_Undefined_Normal_TCell_Company	CCR4
H_Undefined_Normal_TCell_Company	CCR5
H_Undefined_Normal_TCell_Company	CCR6
H_Undefined_Normal_TCell_Company	CCR8
H_Undefined_Normal_TCell_Company	CD1A
H_Undefined_Normal_TCell_Company	CD1C
H_Undefined_Normal_TCell_Company	CD1D
H_Undefined_Normal_TCell_Company	CD2
H_Undefined_Normal_TCell_Company	CD200
H_Undefined_Normal_TCell_Company	CD200R1
H_Undefined_Normal_TCell_Company	IL12RB1
H_Undefined_Normal_TCell_Company	IL17RA
H_Undefined_Normal_TCell_Company	IL18R1
H_Undefined_Normal_TCell_Company	LY9
H_Undefined_Normal_TCell_Company	FCER2
H_Undefined_Normal_TCell_Company	CD244
H_Undefined_Normal_TCell_Company	IL2RA
H_Undefined_Normal_TCell_Company	CD27
H_Undefined_Normal_TCell_Company	ICOS
H_Undefined_Normal_TCell_Company	PDCD1
H_Undefined_Normal_TCell_Company	PTGDR2
H_Undefined_Normal_TCell_Company	CD3D
H_Undefined_Normal_TCell_Company	CD3E
H_Undefined_Normal_TCell_Company	CD3G
H_Undefined_Normal_TCell_Company	NRP1
H_Undefined_Normal_TCell_Company	PECAM1
H_Undefined_Normal_TCell_Company	KLRK1
H_Undefined_Normal_TCell_Company	CD34
H_Undefined_Normal_TCell_Company	CD38
H_Undefined_Normal_TCell_Company	ENTPD1
H_Undefined_Normal_TCell_Company	CD4
H_Undefined_Normal_TCell_Company	SPN
H_Undefined_Normal_TCell_Company	PTPRC
H_Undefined_Normal_TCell_Company	PTPRC
H_Undefined_Normal_TCell_Company	PTPRC
H_Undefined_Normal_TCell_Company	CD48
H_Undefined_Normal_TCell_Company	ITGA4
H_Undefined_Normal_TCell_Company	CD5
H_Undefined_Normal_TCell_Company	NCAM1
H_Undefined_Normal_TCell_Company	SELE
H_Undefined_Normal_TCell_Company	SELP
H_Undefined_Normal_TCell_Company	SELL
H_Undefined_Normal_TCell_Company	SELL
H_Undefined_Normal_TCell_Company	CD68
H_Undefined_Normal_TCell_Company	CD69
H_Undefined_Normal_TCell_Company	CD7
H_Undefined_Normal_TCell_Company	NT5E
H_Undefined_Normal_TCell_Company	CD79A
H_Undefined_Normal_TCell_Company	CD8A
H_Undefined_Normal_TCell_Company	CD80
H_Undefined_Normal_TCell_Company	CD81
H_Undefined_Normal_TCell_Company	CD83
H_Undefined_Normal_TCell_Company	CD84
H_Undefined_Normal_TCell_Company	CD86
H_Undefined_Normal_TCell_Company	CD9
H_Undefined_Normal_TCell_Company	KLRD1
H_Undefined_Normal_TCell_Company	CXCR3
H_Undefined_Normal_TCell_Company	FLT3
H_Undefined_Normal_TCell_Company	GZMA
H_Undefined_Normal_TCell_Company	GZMB
H_Undefined_Normal_TCell_Company	IL13RA1
H_Undefined_Normal_TCell_Company	IL21R
H_Undefined_Normal_TCell_Company	IL9
H_Undefined_Normal_TCell_Company	KLRG1
H_Undefined_Normal_TCell_Company	MHC class II
H_Undefined_Normal_TCell_Company	NA
H_Undefined_Normal_TCell_Company	LRRC36
H_Undefined_Normal_TCell_Company	IL1RL1
H_Undefined_Normal_TCell_Company	TRA
H_Undefined_Normal_TCell_Company	TRB
H_Undefined_Normal_TCell_Company	TRG
H_Undefined_Normal_TCell_Company	TRD
H_Undefined_Normal_TCell_Company	ZAP70
H_Undefined_Normal_TCell_Company	CD3D
H_Undefined_Normal_TCell_Company	CD3E
H_Undefined_Normal_TCell_Company	CD3G
H_PeripheralBlood_Normal_TCell_Company	CD2
H_PeripheralBlood_Normal_TCell_Company	CD3D
H_PeripheralBlood_Normal_TCell_Company	CD3E
H_PeripheralBlood_Normal_TCell_Company	CD3G
H_PeripheralBlood_Normal_TCell_Company	PTPRC
H_PeripheralBlood_Normal_TCell_Company	CD5
H_PeripheralBlood_Normal_TCell_Company	CD6
H_Undefined_Normal_FollicularHelperTfhTCell_Company	BCL6
H_Undefined_Normal_FollicularHelperTfhTCell_Company	IL6R
H_Undefined_Normal_FollicularHelperTfhTCell_Company	SLAMF1
H_Undefined_Normal_FollicularHelperTfhTCell_Company	CD40LG
H_Undefined_Normal_FollicularHelperTfhTCell_Company	CXCR5
H_Undefined_Normal_FollicularHelperTfhTCell_Company	TNFSF4
H_Undefined_Normal_FollicularHelperTfhTCell_Company	ICOS
H_Undefined_Normal_FollicularHelperTfhTCell_Company	PDCD1
H_Undefined_Normal_FollicularHelperTfhTCell_Company	CD3D
H_Undefined_Normal_FollicularHelperTfhTCell_Company	CD3E
H_Undefined_Normal_FollicularHelperTfhTCell_Company	CD3G
H_Undefined_Normal_FollicularHelperTfhTCell_Company	CD4
H_Undefined_Normal_FollicularHelperTfhTCell_Company	CD84
H_Undefined_Normal_FollicularHelperTfhTCell_Company	STAT3
H_Undefined_Normal_FollicularHelperTfhTCell_Company	TRA
H_Undefined_Normal_FollicularHelperTfhTCell_Company	TRB
H_Undefined_Normal_THelperCell_Company	CCR10
H_Undefined_Normal_THelperCell_Company	MME
H_Undefined_Normal_THelperCell_Company	ITGAE
H_Undefined_Normal_THelperCell_Company	IL6R
H_Undefined_Normal_THelperCell_Company	IL7R
H_Undefined_Normal_THelperCell_Company	PDGFRA
H_Undefined_Normal_THelperCell_Company	PDGFRB
H_Undefined_Normal_THelperCell_Company	KLRB1
H_Undefined_Normal_THelperCell_Company	APOE
H_Undefined_Normal_THelperCell_Company	FASLG
H_Undefined_Normal_THelperCell_Company	CXCR3
H_Undefined_Normal_THelperCell_Company	CXCR5
H_Undefined_Normal_THelperCell_Company	CCR3
H_Undefined_Normal_THelperCell_Company	CCR4
H_Undefined_Normal_THelperCell_Company	CCR5
H_Undefined_Normal_THelperCell_Company	CCR6
H_Undefined_Normal_THelperCell_Company	CCR8
H_Undefined_Normal_THelperCell_Company	CD1A
H_Undefined_Normal_THelperCell_Company	CD200
H_Undefined_Normal_THelperCell_Company	IL12RB1
H_Undefined_Normal_THelperCell_Company	IL18R1
H_Undefined_Normal_THelperCell_Company	IL2RA
H_Undefined_Normal_THelperCell_Company	PDCD1
H_Undefined_Normal_THelperCell_Company	PTGDR2
H_Undefined_Normal_THelperCell_Company	CD3D
H_Undefined_Normal_THelperCell_Company	CD3E
H_Undefined_Normal_THelperCell_Company	CD3G
H_Undefined_Normal_THelperCell_Company	CD34
H_Undefined_Normal_THelperCell_Company	CD38
H_Undefined_Normal_THelperCell_Company	ENTPD1
H_Undefined_Normal_THelperCell_Company	CD4
H_Undefined_Normal_THelperCell_Company	PTPRC
H_Undefined_Normal_THelperCell_Company	PTPRC
H_Undefined_Normal_THelperCell_Company	CD5
H_Undefined_Normal_THelperCell_Company	SELE
H_Undefined_Normal_THelperCell_Company	SELP
H_Undefined_Normal_THelperCell_Company	SELL
H_Undefined_Normal_THelperCell_Company	SELL
H_Undefined_Normal_THelperCell_Company	CD7
H_Undefined_Normal_THelperCell_Company	NT5E
H_Undefined_Normal_THelperCell_Company	FLT3
H_Undefined_Normal_THelperCell_Company	IL13RA1
H_Undefined_Normal_THelperCell_Company	IL21R
H_Undefined_Normal_THelperCell_Company	IL9
H_Undefined_Normal_THelperCell_Company	TRA
H_Undefined_Normal_THelperCell_Company	TRB
H_Undefined_Normal_FollicularHelperTfhTCell_Company	BCL6
H_Undefined_Normal_FollicularHelperTfhTCell_Company	CD4
H_Undefined_Normal_FollicularHelperTfhTCell_Company	CXCR5
H_Undefined_Normal_FollicularHelperTfhTCell_Company	IL12RB2
H_Undefined_Normal_FollicularHelperTfhTCell_Company	IL21
H_Undefined_Normal_FollicularHelperTfhTCell_Company	IL6
H_Undefined_Normal_FollicularHelperTfhTCell_Company	MAF
H_Undefined_Normal_FollicularHelperTfhTCell_Company	BATF
H_Undefined_Normal_FollicularHelperTfhTCell_Company	BCL6
H_Undefined_Normal_FollicularHelperTfhTCell_Company	MAF
H_Undefined_Normal_FollicularHelperTfhTCell_Company	CXCR3
H_Undefined_Normal_FollicularHelperTfhTCell_Company	CXCR5
H_Undefined_Normal_FollicularHelperTfhTCell_Company	ICOS
H_Undefined_Normal_FollicularHelperTfhTCell_Company	PDCD1
H_Undefined_Normal_FollicularHelperTfhTCell_Company	IRF4
H_Undefined_Normal_FollicularHelperTfhTCell_Company	STAT3
H_Undefined_Normal_THelper1Th1Cell_Company	CCR1
H_Undefined_Normal_THelper1Th1Cell_Company	CCR5
H_Undefined_Normal_THelper1Th1Cell_Company	IFNGR1
H_Undefined_Normal_THelper1Th1Cell_Company	CXCR3
H_Undefined_Normal_THelper1Th1Cell_Company	CCR5
H_Undefined_Normal_THelper1Th1Cell_Company	DPP4
H_Undefined_Normal_THelper1Th1Cell_Company	CD4
H_Undefined_Normal_THelper1Th1Cell_Company	KLRD1
H_Undefined_Normal_THelper1Th1Cell_Company	CXCR3
H_Undefined_Normal_THelper1Th1Cell_Company	IFNG
H_Undefined_Normal_THelper1Th1Cell_Company	IL18R1
H_Undefined_Normal_THelper1Th1Cell_Company	IL18RAP
H_Undefined_Normal_THelper1Th1Cell_Company	LTBR
H_Undefined_Normal_THelper1Th1Cell_Company	TBX21
H_Undefined_Normal_THelper1Th1Cell_Company	HAVCR2
H_Undefined_Normal_THelper1Th1Cell_Company	TNF
H_Undefined_Normal_THelper1Th1Cell_Company	LTA
