term	gene
H_DentalPulp_Normal_MesenchymalStemCell_28781092	ENG
H_DentalPulp_Normal_MesenchymalStemCell_28781092	NA
H_Breast_Normal_NaturalKillerCell_29090365	NCAM1
H_DentalPulp_Normal_DentalPulpStemCell_24837475	ENG
H_DentalPulp_Normal_DentalPulpStemCell_24837475	ITGB1
H_DentalPulp_Normal_DentalPulpStemCell_24837475	CD44
H_DentalPulp_Normal_DentalPulpStemCell_24837475	NT5E
H_Liver_LiverCancer_CancerStemCell_24713374	TRO
H_PeripheralBlood_Normal_BCell_25187226	CD19
H_PeripheralBlood_Normal_BCell_25187226	CD27
H_PeripheralBlood_Normal_BCell_25187226	CD38
H_PeripheralBlood_Normal_BCell_25187226	PTPRC
H_PeripheralBlood_Normal_BCell_25187226	IgD family
H_PeripheralBlood_Normal_BCell_25187226	ZAP70
H_AdiposeTissue_Normal_Adipose-DerivedStemCell_29214313	MCAM
H_AdiposeTissue_Normal_Adipose-DerivedStemCell_29214313	THY1
H_AdiposeTissue_Normal_Adipose-DerivedStemCell_29214313	KLF4
H_AdiposeTissue_Normal_Adipose-DerivedStemCell_29214313	NANOG
H_AdiposeTissue_Normal_Adipose-DerivedStemCell_29214313	NES
H_AdiposeTissue_Normal_Adipose-DerivedStemCell_29214313	POU5F1
H_AdiposeTissue_Normal_Adipose-DerivedStemCell_29214313	PDGFRB
H_AdiposeTissue_Normal_Adipose-DerivedStemCell_29214313	SOX2
H_AdiposeTissue_Normal_PreadipocyteProgenitorCell_28715395	CD34
H_AdiposeTissue_Normal_PreadipocyteProgenitorCell_28715395	PDGFRA
H_Undefined_Osteosarcoma_CancerStemCell_24893164	NGFR
H_Undefined_Normal_RegulatoryTTregCell_28929191	ITGA2
H_Undefined_Normal_RegulatoryTTregCell_28929191	LAG3
H_Stomach_GastricCancer_CancerStemCell_24015244	ITGA6
H_NucleusPulposus_Normal_NucleusPulposusCell_24972717	CA12
H_NucleusPulposus_Normal_NucleusPulposusCell_24972717	CD24
H_NucleusPulposus_Normal_NucleusPulposusCell_24972717	FOXF1
H_NucleusPulposus_Normal_NucleusPulposusCell_24972717	KRT19
H_NucleusPulposus_Normal_NucleusPulposusCell_24972717	PAX1
H_NucleusPulposus_Normal_NucleusPulposusCell_24972717	PTN
H_Urine_Normal_Urine-DerivedStemCell_28409292	ENG
H_Urine_Normal_Urine-DerivedStemCell_28409292	MCAM
H_Urine_Normal_Urine-DerivedStemCell_28409292	CD34
H_Urine_Normal_Urine-DerivedStemCell_28409292	PTPRC
H_Urine_Normal_Urine-DerivedStemCell_28409292	NT5E
H_Urine_Normal_Urine-DerivedStemCell_28409292	THY1
H_Urine_Normal_Urine-DerivedStemCell_28409292	POU5F1
H_Urine_Normal_Urine-DerivedStemCell_28409292	NA
H_Pancreas_PancreaticDuctalAdenocarcinomas_Fibroblast_24194920	COL11A1
H_Undefined_SerousOvarianCancer_Fibroblast_25170899	THY1
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	ITGAL
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	ITGAM
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	SIGLEC5
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	SIRPG
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	ITGB2
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	CCR5
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	CD2
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	LY9
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	CD28
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	CD3D
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	CD3E
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	CD3G
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	LAIR1
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	SLAMF7
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	FCGR2A
H_Undefined_RenalClearCellCarcinoma_ImmuneCell_25170899	FCGR2B
